,epochs,batch_size,layer_size1,layer_size2,layer_size3,alpha1,alpha2,target
0,100,50,500,12,6,1.0,1.0000000000000001e-05,0.693111983612
1,100,50,500,12,6,1.0000000000000001e-05,1.0,0.703823830659
2,100,50,500,12,6,1.0000000000000001e-05,1.0000000000000001e-05,0.737026288836
3,100,50,300,32,32,1.0,1.0,0.694989757596
4,100,50,300,32,32,1.0,1.0000000000000001e-05,0.679242062137
5,100,50,300,32,32,1.0000000000000001e-05,1.0,0.733484124274
6,100,50,300,32,32,1.0000000000000001e-05,1.0000000000000001e-05,0.656804796859
7,100,50,300,32,12,1.0,1.0,0.61622994196
8,100,50,300,32,12,1.0,1.0000000000000001e-05,0.687702714237
9,100,50,300,32,12,1.0000000000000001e-05,1.0,0.656687435985
10,100,50,300,32,12,1.0000000000000001e-05,1.0000000000000001e-05,0.54818197337
11,100,50,300,32,6,1.0,1.0,0.434437948105
12,100,50,300,32,6,1.0,1.0000000000000001e-05,0.665724223284
13,100,50,300,32,6,1.0000000000000001e-05,1.0,0.470040969614
14,100,50,300,32,6,1.0000000000000001e-05,1.0000000000000001e-05,0.70415457494
15,100,50,300,12,32,1.0,1.0,0.716456128371
16,100,50,300,12,32,1.0,1.0000000000000001e-05,0.702287470126
17,100,50,300,12,32,1.0000000000000001e-05,1.0,0.678783287812
18,100,50,300,12,32,1.0000000000000001e-05,1.0000000000000001e-05,0.714140918402
19,100,50,300,12,12,1.0,1.0,0.57331853875
20,100,50,300,12,12,1.0,1.0000000000000001e-05,0.685771594401
21,100,50,300,12,12,1.0000000000000001e-05,1.0,0.651246159099
22,100,50,300,12,12,1.0000000000000001e-05,1.0000000000000001e-05,0.69831853875
23,100,50,300,12,6,1.0,1.0,0.705829634688
24,100,50,300,12,6,1.0,1.0000000000000001e-05,0.708859679071
25,100,50,300,12,6,1.0000000000000001e-05,1.0,0.481841072038
26,100,50,300,12,6,1.0000000000000001e-05,1.0000000000000001e-05,0.52746244452
